,Fecha,Estacion_de_Servicio,Producto,Vehiculo,Equipo/Placa,Cantidad_Galones,Costo_Total_ACPM,Actividad_Equipo
56,2023-01-31,EDS TORRASA,ACPM,VOLQUETA,JSL 245,50.092,477827.588,MINERIA
57,2023-01-31,EDS TORRASA,ACPM,VOLQUETA,XMD 367,66.045,630003.255,MINERIA
58,2023-01-31,EDS TORRASA,ACPM,VOLQUETA,JSL 245,55.359,528069.501,MINERIA
59,2023-01-22,EDS LA BELENCITA,ACPM,VOLQUETA,UFZ 553,103.242,737147.88,MINERIA
60,2023-01-23,EDS LA BELENCITA,ACPM,VOLQUETA,JSL 245,54.671,390350.94,MINERIA
61,2023-01-24,EDS LA BELENCITA,CORRIENTE,NISSAN,DMM 139,14.723,127059.49,MINERIA
62,2023-01-25,EDS LA BELENCITA,ACPM,MAQUINARIA,MAQUINARIA,177.0,1263780.0,MINERIA
63,2023-01-24,EDS LA BELENCITA,ACPM,VOLQUETA,XVV 775,68.997,492638.58,MINERIA
64,2023-01-25,EDS LA BELENCITA,ACPM,VOLQUETA,UYZ 028,61.126,436439.63999999996,MINERIA
65,2023-01-27,EDS LA BELENCITA,ACPM,VOLQUETA,UFZ 553,93.823,669896.22,MINERIA
66,2023-01-28,EDS LA BELENCITA,ACPM,VOLQUETA,XMD 331,69.956,499485.84,MINERIA
67,2023-01-28,EDS LA BELENCITA,ACPM,VOLQUETA,XVV 775,74.23,530002.2000000001,MINERIA
68,2023-01-29,EDS LA BELENCITA,ACPM,VOLQUETA,XVV 775,63.585,453996.9,MINERIA
69,2023-01-29,EDS LA BELENCITA,CORRIENTE,NISSAN,DMM 139,16.561,142921.43,MINERIA
70,2023-01-29,EDS LA BELENCITA,ACPM,MAQUINARIA,MAQUINARIA,0.975,6961.5,MINERIA
71,2023-01-29,EDS LA BELENCITA,ACPM,MAQUINARIA,MAQUINARIA,5.881,41990.340000000004,MINERIA
72,2023-01-02,EDS EL REFUGIO,CORRIENTE,HILUX,BKT 858,11.903,102675.278,MINERIA
73,2023-01-02,EDS EL REFUGIO,CORRIENTE,NISSAN,DMM 139,15.076,130045.576,MINERIA
74,2023-01-02,EDS EL REFUGIO,ACPM,VOLQUETA,UYZ 028,74.26,529845.1000000001,MINERIA
75,2023-01-02,EDS EL REFUGIO,ACPM,VOLQUETA,XVV 775,85.432,609557.3200000001,MINERIA
76,2023-01-02,EDS EL REFUGIO,ACPM,MAQUINARIA,MAQUINARIA,177.0,1262895.0,MINERIA
77,2023-01-03,EDS EL REFUGIO,ACPM,VOLQUETA,XMD 331,40.0,285400.0,MINERIA
78,2023-01-03,EDS EL REFUGIO,ACPM,MAQUINARIA,MAQUINARIA,177.0,1262895.0,MINERIA
79,2023-01-03,EDS EL REFUGIO,ACPM,VOLQUETA,XMD 367,79.957,570493.195,MINERIA
80,2023-01-04,EDS EL REFUGIO,ACPM,VOLQUETA,XVV 775,52.916,377555.66,MINERIA
81,2023-01-04,EDS EL REFUGIO,ACPM,MAQUINARIA,MAQUINARIA,177.0,1262895.0,MINERIA
82,2023-01-03,EDS EL REFUGIO,ACPM,VOLQUETA,JSL 245,60.963,434971.005,MINERIA
83,2023-01-05,EDS EL REFUGIO,ACPM,VOLQUETA,JSL 245,50.268,358662.18,MINERIA
84,2023-01-05,EDS EL REFUGIO,ACPM,VOLQUETA,UYZ 028,71.76,512007.60000000003,MINERIA
85,2023-01-05,EDS EL REFUGIO,ACPM,VOLQUETA,XMD 331,71.007,506634.945,MINERIA
86,2023-01-05,EDS EL REFUGIO,ACPM,VOLQUETA,UFZ 553,97.001,692102.135,MINERIA
87,2023-01-04,EDS EL REFUGIO,CORRIENTE,HILUX,BKT 858,12.281,105935.906,MINERIA
88,2023-01-04,EDS EL REFUGIO,ACPM,MAQUINARIA,MAQUINARIA,177.0,1262895.0,MINERIA
89,2023-01-05,EDS EL REFUGIO,ACPM,MAQUINARIA,MAQUINARIA,177.0,1262895.0,MINERIA
90,2023-01-05,EDS EL REFUGIO,ACPM,MAQUINARIA,MAQUINARIA,177.0,1262895.0,MINERIA
91,2023-01-05,EDS EL REFUGIO,ACPM,VOLQUETA,XVV 775,76.303,544421.905,MINERIA
92,2023-01-06,EDS EL REFUGIO,ACPM,MAQUINARIA,MAQUINARIA,163.7,1167999.5,MINERIA
93,2023-01-06,EDS EL REFUGIO,ACPM,MAQUINARIA,MAQUINARIA,13.3,94895.5,MINERIA
94,2023-01-07,EDS EL REFUGIO,CORRIENTE,HILUX,BKT 858,13.112,113104.112,MINERIA
95,2023-01-07,EDS EL REFUGIO,ACPM,MAQUINARIA,MAQUINARIA,177.0,1262895.0,MINERIA
96,2023-01-07,EDS EL REFUGIO,ACPM,MAQUINARIA,EQUIPO 07,177.0,1262895.0,RENTA
97,2023-01-07,EDS EL REFUGIO,ACPM,VOLQUETA,XMD 367,82.856,591177.5599999999,MINERIA
98,2023-01-07,EDS EL REFUGIO,ACPM,VOLQUETA,JSL 245,62.577,446486.89499999996,MINERIA
99,2023-01-08,EDS EL REFUGIO,ACPM,VOLQUETA,XVV 775,73.557,524829.1950000001,MINERIA
100,2023-01-08,EDS EL REFUGIO,ACPM,VOLQUETA,UYZ 028,85.286,608515.61,MINERIA
101,2023-01-07,EDS EL REFUGIO,ACPM,MAQUINARIA,MAQUINARIA,177.0,1262895.0,MINERIA
